,UID,ANS
86,22483,"[[29], [29, 27, 31, 40, 68, 65, 19, 20, 79]]"
87,727,"[[72], [72, 98, 50, 81, 53, 96, 20, 7, 70, 51]]"
88,16637,"[[49], [49, 35, 28, 27, 50, 65, 48, 39, 18, 13]]"
89,2931,"[[89], [89, 66, 28, 97, 1, 63, 78, 18, 99, 73]]"
90,5094,"[[11], [11, 48, 41, 32, 39, 62, 55, 21, 12, 4]]"
91,12413,"[[65], [65, 31, 52, 36, 53, 61, 54, 49, 62, 48]]"
92,10244,"[[32], [32, 27, 28, 6, 78, 73, 96, 94, 10, 70]]"
93,24787,"[[25], [25, 51, 4, 85, 29, 70, 73, 5, 12, 7]]"
94,5784,"[[5], [5, 54, 27, 6, 36, 52, 11, 34, 48, 12]]"
95,6890,"[[53], [53, 49, 31, 6, 21, 34, 93, 45, 95, 39]]"
96,7664,"[[86], [86, 27, 91, 88, 1, 24, 9, 98, 52, 82]]"
97,18904,"[[49], [49, 54, 32, 36, 55, 65, 35, 45, 23, 97]]"
98,7374,"[[35], [35, 27, 68, 66, 65, 21, 56, 14, 46, 15]]"
99,568,"[[42], [42, 31, 14, 2, 34, 89, 49, 8, 39, 25]]"
100,8286,"[[66], [66, 29, 32, 6, 39, 34, 11, 48, 38, 51]]"
101,12821,"[[68], [68, 62, 32, 65, 69, 35, 48, 39, 40, 52]]"
102,2440,"[[49], [49, 89, 66, 28, 63, 10, 27, 38, 12, 18]]"
103,19410,"[[5], [5, 50, 53, 29, 66, 69, 21, 48, 15, 2]]"
104,5452,"[[22], [22, 45, 38, 69, 39, 40, 30, 63, 37, 68]]"
105,16011,"[[56], [56, 98, 10, 55, 49, 62, 87, 4, 47, 13]]"
106,13273,"[[35], [35, 81, 29, 5, 38, 2, 55, 14, 98, 43]]"
107,9102,"[[36], [36, 29, 53, 61, 28, 93, 14, 19, 15, 17]]"
108,9663,"[[27], [27, 80, 40, 12, 14, 3, 6, 95, 30, 24]]"
109,8979,"[[53], [53, 49, 27, 69, 68, 12, 28, 40, 85, 34]]"
110,3784,"[[14], [14, 26, 66, 12, 39, 56, 34, 73, 28, 22]]"
111,11441,"[[62], [62, 47, 48, 35, 61, 8, 20, 16]]"
112,13303,"[[72], [72, 77, 55, 89, 94, 96, 86, 5, 30, 83]]"
113,12560,"[[62], [62, 68, 34, 27, 31, 48, 17]]"
114,4103,"[[50], [50, 32, 54, 100, 26, 72, 6, 28, 34, 78]]"
115,23700,"[[66], [66, 49, 29, 45, 42, 3, 10, 33, 24]]"
116,3690,"[[38], [38, 91, 89, 1, 35, 32, 15, 28, 99, 37]]"
117,19000,"[[60], [60, 24, 9, 1, 43, 50, 40, 17, 34, 6]]"
118,1396,"[[50], [50, 29, 31, 62, 49, 11, 56, 76, 48, 55]]"
119,18082,"[[91], [91, 55, 32, 76, 87, 45, 68, 75, 10, 85]]"
120,12791,"[[14], [14, 38, 62, 49, 68, 56, 34, 66, 61, 83]]"
121,21705,"[[29], [29, 68, 60, 54, 66, 88, 15, 95, 1, 27]]"
122,11688,"[[27], [27, 53, 69, 66, 49, 48, 68, 46, 88, 6]]"
123,20651,"[[60], [60, 63, 35, 7, 28, 86, 15, 48, 10, 64]]"
124,21143,"[[53], [53, 27, 32, 5, 10, 65, 61, 46, 94, 42]]"
125,3808,"[[62], [62, 68, 56, 21, 48, 31, 72, 83, 39, 93]]"
126,14588,"[[36], [36, 35, 54, 6, 80, 78, 76, 46, 21, 93]]"
127,14581,"[[62], [62, 49, 32, 66, 56, 6, 46, 12, 63, 96]]"
128,14249,"[[50], [50, 36, 35, 27, 5, 16, 54, 65, 31, 2]]"
129,3370,"[[76], [76, 94, 50, 70, 29, 90, 61, 45, 85, 40]]"
130,17232,"[[42], [42, 21, 32, 66, 27, 36, 34, 81, 70, 4]]"
131,5831,"[[21], [21, 62, 12, 26, 68, 70, 25, 8, 13, 63]]"
132,22139,"[[69], [69, 54, 36, 47, 96, 6, 12, 77, 99, 79]]"
133,11470,"[[8], [8, 32, 96, 17, 13, 20, 84, 69, 65, 60]]"
134,23306,"[[97], [97, 95, 68, 92, 54, 28, 47, 61, 49, 94]]"
135,23276,"[[48], [48, 49, 7, 42, 35, 21, 56, 40, 39, 12]]"
136,14285,"[[11], [11, 62, 91, 21, 35, 29, 47, 84, 69, 41]]"
137,3828,"[[27], [27, 50, 62, 21, 11, 65, 12, 3, 39, 26]]"
138,988,"[[68], [68, 5, 39, 20, 13, 16]]"
139,14440,"[[46], [46, 35, 3, 26, 36, 51, 42, 56, 33, 6]]"
140,11694,"[[29], [29, 26, 65, 72, 47, 48, 45, 87, 99, 7]]"
141,5169,"[[11], [11, 32, 50, 3, 6, 48, 65, 34, 96, 17]]"
142,23514,"[[28], [28, 23, 48, 55, 49, 10, 43, 59, 22, 34]]"
143,14820,"[[95], [95, 49, 13, 62, 42, 68, 56, 34, 14, 26]]"
144,22697,"[[15], [15, 18, 1, 71, 93, 48, 87, 76, 66, 78]]"
145,21045,"[[32], [32, 35, 49, 36, 66, 61, 12, 98, 91, 34]]"
146,19606,"[[89], [89, 86, 79, 99, 68, 5, 74, 43, 18, 1]]"
147,14414,"[[98], [98, 76, 65, 39, 81, 68, 34, 85, 27, 36]]"
148,24692,"[[89], [89, 28, 47, 35, 38, 55, 96, 61, 18, 15]]"
149,21064,"[[50], [50, 35, 66, 56, 47, 92, 95, 21, 86, 63]]"
150,10361,"[[29], [29, 35, 54, 56, 68, 15, 72, 21, 76, 12]]"
151,24178,"[[20], [20, 18, 47, 17, 46, 50, 8, 31]]"
152,9904,"[[50], [50, 69, 2, 62, 65, 38, 91, 13, 23, 39]]"
153,392,"[[50], [50, 93, 32, 54, 76, 2, 92, 63, 31, 65]]"
154,8883,"[[53], [53, 54, 47, 27, 63, 34, 25, 18, 1, 22]]"
155,12678,"[[27], [27, 53, 42, 52, 63, 37, 23, 15]]"
156,19273,"[[42], [42, 31, 38, 28, 86, 15]]"
157,9057,"[[5], [5, 32, 68, 6, 38, 45, 21, 99]]"
158,12548,"[[76], [76, 87, 65, 82, 92, 35, 98, 50, 71, 39]]"
159,22934,"[[36], [36, 35, 68, 83, 46, 52, 5, 2, 30, 55]]"
160,20588,"[[18], [18, 7, 50, 35, 29, 32, 66, 31, 56]]"
161,277,"[[69], [69, 56, 86, 42, 22, 2, 37, 6, 82, 14]]"
162,10337,"[[98], [98, 31, 53, 69, 26, 39, 11, 70, 3, 17]]"
163,24117,"[[8], [8, 27, 66, 42, 10, 38, 26, 23, 12, 63]]"
164,13012,"[[18], [18, 29, 55, 32, 23, 7, 56, 49, 48, 66]]"
165,23680,"[[29], [29, 2, 18, 27, 31, 25, 34, 61, 48, 67]]"
166,6044,"[[21], [21, 62, 47, 35, 36, 34, 28, 23, 13, 15]]"
167,19979,"[[18], [18, 46, 25, 86, 69, 5, 41, 64, 21, 24]]"
168,15664,"[[29], [29, 10, 1, 46, 89, 65, 32, 22, 14, 66]]"
169,18382,"[[76], [76, 91, 72, 29, 98, 36, 3, 62, 55, 21]]"
170,20112,"[[50], [50, 81, 69, 80, 46, 76, 12, 25, 39, 73]]"
171,409,"[[50], [50, 36, 1, 48, 28, 67, 15, 8, 16]]"
172,18143,"[[81], [81, 21, 62, 31, 26, 34, 56, 48, 55, 10]]"
173,23576,"[[28], [28, 35, 21, 39, 61, 70, 25, 9, 19, 40]]"
174,2202,"[[29], [29, 56, 1, 15, 21, 7, 26, 5, 10, 55]]"
175,12757,"[[100], [100, 87, 4, 1, 93, 84, 27, 92, 74, 77]]"
176,9407,"[[29], [29, 7, 54, 41, 26, 42, 19, 87, 98, 58]]"
177,6392,"[[31], [31, 66, 36, 42, 39, 22, 45, 30, 16, 4]]"
178,9019,"[[38], [38, 45, 34, 12, 3, 69, 56, 52, 37, 29]]"
179,20611,"[[27], [27, 29, 69, 66, 61, 93, 42, 34, 28, 52]]"
180,21376,"[[68], [68, 32, 54, 66, 36, 21, 35, 29, 40, 19]]"
181,13520,"[[27], [27, 65, 49, 83, 91, 28, 45, 70, 5, 23]]"
182,14153,"[[6], [6, 30, 55, 65, 62, 49, 90, 19, 16, 15]]"
183,15610,"[[62], [62, 28, 30, 68, 49, 53, 50, 26, 20, 44]]"
184,9115,"[[32], [32, 28, 84, 93, 69, 83, 35, 53, 31, 70]]"
185,21704,"[[25], [25, 39, 66, 65, 27, 52, 62, 77, 100, 49]]"
186,8003,"[[49], [49, 72, 36, 66, 29, 6, 82, 86, 42, 26]]"
187,5126,"[[24], [24, 25, 2, 38, 23, 43, 39, 12, 83, 11]]"
188,15549,"[[27], [27, 53, 66, 7, 68, 23, 22, 34, 67, 70]]"
189,21476,"[[42], [42, 35, 53, 62, 6, 40, 100, 83, 72, 52]]"
190,24295,"[[69], [69, 62, 21, 61, 56, 48, 25, 1, 13, 52]]"
191,18278,"[[49], [49, 32, 56, 29, 11, 59, 1, 3, 67, 7]]"
192,13738,"[[62], [62, 54, 29, 6, 55, 42, 34, 45, 70, 26]]"
193,4868,"[[65], [65, 26, 42, 61, 56, 6, 62, 38, 39, 24]]"
194,14986,"[[38], [38, 49, 19, 40, 61, 39, 20, 57, 7, 44]]"
195,12584,"[[42], [42, 6, 66, 69, 56, 35, 28, 67, 30, 3]]"
196,11464,"[[96], [96, 47, 68, 63, 53, 98, 66, 30, 61, 23]]"
197,3301,"[[83], [83, 85, 11, 54, 27, 28, 91, 6, 53, 99]]"
198,23637,"[[42], [42, 48, 35, 47, 53, 62, 87, 38, 81, 22]]"
199,14804,"[[53], [53, 69, 61, 14, 46, 2, 99, 12, 45, 38]]"
200,24599,"[[27], [27, 97, 35, 21, 88, 42, 14, 78, 86, 100]]"
201,10246,"[[32], [32, 62, 69, 56, 10, 19, 84, 1, 63, 42]]"
202,24849,"[[89], [89, 75, 99, 78, 100, 39, 14, 32, 4, 70]]"
203,15433,"[[100], [100, 36, 5, 11, 52, 35, 4, 48, 60, 3]]"
204,11739,"[[98], [98, 52, 26, 14, 3, 35, 29, 93, 5, 38]]"
205,23387,"[[35], [35, 91, 72, 2, 47, 92, 94, 81, 38, 22]]"
206,4217,"[[68], [68, 50, 28, 36, 96, 88, 14, 42, 27, 87]]"
207,2903,"[[78], [78, 72, 54, 81, 97, 80, 79, 85, 61, 86]]"
208,5017,"[[32], [32, 21, 19, 43, 7, 8]]"
209,14932,"[[53], [53, 49, 72, 97, 92, 77, 84, 14, 26, 71]]"
210,1036,"[[81], [81, 69, 22, 32, 66, 54, 62, 25, 55, 34]]"
211,22837,"[[54], [54, 68, 28, 46, 14, 29, 63, 27, 12, 39]]"
212,21290,"[[1], [1, 23, 50, 66, 32, 94, 14, 96, 59, 44]]"
213,18693,"[[15], [15, 3, 60, 2, 24, 9, 26, 42, 69, 67]]"
214,19187,"[[80], [80, 27, 6, 39, 51, 50, 26, 89, 66, 36]]"
215,21299,"[[29], [29, 35, 62, 46, 53, 10, 42, 11, 1, 38]]"
216,22078,"[[68], [68, 47, 95, 36, 11, 38, 9, 60, 69, 12]]"
217,7784,"[[72], [72, 49, 97, 10, 93, 54, 48, 31, 40, 78]]"
218,8951,"[[36], [36, 27, 65, 1, 45, 28, 5, 18, 51, 24]]"
219,14870,"[[66], [66, 54, 76, 62, 80, 68, 49, 83, 87, 39]]"
220,5374,"[[65], [65, 27, 29, 56, 31, 42, 3, 67, 47, 39]]"
221,17213,"[[50], [50, 35, 31, 65, 40, 61, 3, 53, 5, 42]]"
222,7314,"[[54], [54, 21, 63, 61, 97, 39, 91, 98, 1, 3]]"
223,11473,"[[32], [32, 62, 89, 19, 28, 35, 27, 91, 65, 39]]"
224,18513,"[[27], [27, 61, 28, 26, 5, 99, 23, 51, 18, 13]]"
225,23154,"[[89], [89, 87, 92, 47, 3, 90, 5, 99, 79, 43]]"
226,15481,"[[50], [50, 27, 36, 32, 81, 62, 98, 83, 1, 76]]"
227,22642,"[[11], [11, 100, 22, 28, 9, 42, 69, 40, 54, 66]]"
228,11874,"[[5], [5, 18, 15, 39, 17, 45, 8]]"
229,23902,"[[60], [60, 74, 85, 78, 3, 97, 96, 7, 92, 23]]"
230,7032,"[[94], [94, 62, 8, 47, 66, 69, 85, 34, 71, 56]]"
231,18537,"[[89], [89, 27, 56, 22, 12, 11, 90, 34, 8, 99]]"
232,6235,"[[29], [29, 53, 31, 61, 22, 11, 42, 68, 45, 43]]"
233,5814,"[[29], [29, 56, 32, 66, 61, 65, 51]]"
234,3569,"[[29], [29, 53, 68, 69, 61, 83, 93, 14, 26, 46]]"
235,3637,"[[50], [50, 35, 68, 49, 40, 65, 14, 15, 19, 17]]"
236,14602,"[[49], [49, 62, 48, 42, 69, 29, 46, 21, 25, 61]]"
237,9765,"[[29], [29, 35, 32, 38, 56, 53, 31, 45, 91, 39]]"
238,9481,"[[27], [27, 50, 35, 60, 41, 53, 26, 32, 81, 40]]"
239,6319,"[[50], [50, 60, 63, 49, 68, 10, 45, 41, 67, 6]]"
240,3681,"[[65], [65, 35, 12, 80, 72, 89, 73, 51, 68, 78]]"
241,21651,"[[68], [68, 85, 19, 47, 86, 91, 32, 73, 80, 54]]"
242,17568,"[[32], [32, 7, 61, 38, 22, 1, 39, 10, 25, 55]]"
243,20436,"[[29], [29, 69, 66, 61, 54, 42, 68, 14, 34, 17]]"
244,12575,"[[35], [35, 31, 32, 56, 68, 6, 89, 47, 39, 38]]"
245,12510,"[[32], [32, 48, 87, 47, 14, 10, 55, 9, 34, 23]]"
246,13538,"[[54], [54, 62, 38, 68, 10, 72, 91, 48, 45, 92]]"
247,14696,"[[3], [3, 34, 2, 42, 31, 26, 6, 50, 65, 72]]"
248,10828,"[[68], [68, 54, 1, 56, 53, 3, 42, 39, 50, 31]]"
249,9732,"[[6], [6, 22, 61, 27, 30, 78, 100, 36, 41, 62]]"
250,11395,"[[83], [83, 98, 53, 76, 17, 35, 61, 66, 74, 46]]"
251,16097,"[[50], [50, 89, 69, 31, 5, 48, 83, 3, 82, 45]]"
252,12973,"[[62], [62, 53, 69, 27, 61, 46, 55, 95, 21, 45]]"
253,10783,"[[50], [50, 54, 28, 36, 26, 61, 38, 25, 20, 23]]"
254,5971,"[[62], [62, 66, 50, 35, 47, 29, 42, 76, 64, 81]]"
255,19329,"[[32], [32, 54, 61, 46, 91, 26, 6, 34, 92, 15]]"
256,19371,"[[72], [72, 32, 62, 35, 69, 11, 18, 10, 13, 52]]"
257,14217,"[[50], [50, 29, 97, 98, 62, 94, 19, 26, 20, 7]]"
258,7307,"[[84], [84, 36, 2, 82, 93, 13, 37, 56, 40, 98]]"
259,5926,"[[21], [21, 31, 35, 83, 52, 56, 48, 47, 66, 46]]"
260,20091,"[[100], [100, 21, 78, 65, 39, 61, 6, 85, 62, 42]]"
261,32,"[[72], [72, 50, 35, 2, 55, 47, 41, 20, 15]]"
262,10591,"[[68], [68, 76, 53, 7, 40, 35, 21, 69, 42, 17]]"
263,12134,"[[97], [97, 68, 94, 95, 84, 47, 72, 28, 77, 50]]"
264,17001,"[[65], [65, 10, 9, 30, 67, 26, 6, 57, 48, 64]]"
265,21548,"[[29], [29, 62, 36, 49, 68, 69, 97, 47, 46, 6]]"
266,1582,"[[1], [1, 55, 25, 14, 39, 8, 7, 16]]"
267,16856,"[[1], [1, 11, 86, 97, 91, 93, 64, 22, 42, 98]]"
268,11496,"[[27], [27, 29, 42, 46, 10, 49, 56, 38, 52, 45]]"
269,18457,"[[69], [69, 62, 26, 45, 22, 2, 52, 59, 19, 18]]"
270,13430,"[[53], [53, 81, 49, 65, 99, 47, 79, 28, 38, 6]]"
271,1464,"[[49], [49, 29, 65, 48, 75, 17, 14, 40, 3, 41]]"
272,8408,"[[35], [35, 54, 69, 31, 56, 19, 12, 14, 11, 17]]"
273,9402,"[[32], [32, 49, 47, 28, 27, 42, 19, 65, 39, 34]]"
274,8247,"[[50], [50, 97, 54, 17, 99, 21, 48, 31, 38, 34]]"
275,13582,"[[21], [21, 62, 70, 3, 14, 67, 46, 28, 43, 35]]"
276,4090,"[[50], [50, 29, 27, 76, 19, 48, 25, 85, 91, 81]]"
277,15325,"[[73], [73, 78, 87, 27, 42, 88, 22, 70, 1, 97]]"
278,12314,"[[27], [27, 36, 53, 32, 62, 54, 21, 6, 5, 100]]"
279,4722,"[[53], [53, 27, 28, 19, 48, 21, 38, 10, 45, 67]]"
280,7719,"[[34], [34, 46, 51, 6, 55, 45, 70, 29, 43, 28]]"
281,13783,"[[68], [68, 66, 82, 90, 88, 92, 40, 5, 56, 19]]"
282,21470,"[[50], [50, 32, 87, 76, 6, 21, 14, 73, 55, 70]]"
283,10228,"[[36], [36, 68, 49, 54, 31, 56, 42, 11, 39, 5]]"
284,16169,"[[1], [1, 23, 4, 55, 11, 67, 35, 36, 48, 60]]"
285,5160,"[[89], [89, 76, 84, 82, 98, 77, 5, 96, 92, 86]]"
286,9464,"[[29], [29, 35, 21, 27, 49, 32, 62, 66, 10, 28]]"
287,10214,"[[28], [28, 69, 6, 42, 12, 27, 50, 21, 48, 45]]"
288,8231,"[[72], [72, 27, 36, 21, 87, 76, 80, 17, 79, 61]]"
289,19407,"[[42], [42, 72, 89, 12, 6, 61, 50, 79, 47, 28]]"
290,23155,"[[98], [98, 80, 49, 54, 21, 12, 81, 61, 11, 77]]"
291,3584,"[[36], [36, 53, 32, 69, 61, 42, 45, 14, 97]]"
292,22281,"[[17], [17, 65, 53, 36, 35, 80, 54, 11, 26, 14]]"
293,15223,"[[62], [62, 29, 48, 56, 61, 81, 94, 86, 5, 45]]"
294,20495,"[[97], [97, 10, 9, 63, 23, 69, 87, 32, 36, 65]]"
295,4259,"[[29], [29, 22, 32, 61, 72, 66, 62, 93, 95, 68]]"
296,6776,"[[47], [47, 48, 65, 7, 1, 20, 23, 3, 79, 25]]"
297,71,"[[65], [65, 31, 89, 73, 78, 85, 48, 25, 96, 99]]"
298,24218,"[[29], [29, 36, 53, 32, 21, 69, 46, 2, 25, 38]]"
299,4457,"[[36], [36, 54, 50, 35, 66, 69, 56, 46, 47, 5]]"
300,21645,"[[11], [11, 48, 40, 42, 12, 34, 63, 19, 35, 55]]"
301,5618,"[[73], [73, 79, 36, 5, 19, 40, 82, 61, 91, 81]]"
302,22637,"[[41], [41, 22, 65, 57, 32, 42, 93, 90, 68, 30]]"
303,3806,"[[70], [70, 11, 23, 26, 46, 62, 49, 19, 13, 15]]"
304,14190,"[[35], [35, 49, 27, 69, 61, 12, 42, 63, 20, 85]]"
305,4856,"[[19], [19, 7, 23, 1, 47, 20, 37, 49, 58, 27]]"
306,4704,"[[50], [50, 63, 54, 66, 31, 33, 34, 60, 5, 55]]"
307,2877,"[[31], [31, 69, 80, 72, 83, 40, 75, 5, 11, 19]]"
308,2584,"[[29], [29, 36, 35, 54, 66, 5, 7, 2, 47, 22]]"
309,3418,"[[46], [46, 56, 10, 26, 25, 65, 9, 47, 32, 48]]"
310,1655,"[[25], [25, 68, 53, 42, 2, 47, 54, 70, 31, 57]]"
311,12503,"[[21], [21, 10, 6, 52, 42, 46, 48, 87, 51, 28]]"
312,20236,"[[10], [10, 96, 29, 43, 51, 2, 57, 1, 52, 38]]"
313,8336,"[[18], [18, 91, 47, 54, 61, 65, 98]]"
314,327,"[[35], [35, 89, 65, 27, 47, 81, 98, 22, 7, 6]]"
315,22855,"[[61], [61, 46, 34, 1, 100, 51, 14, 89, 81, 28]]"
316,2772,"[[50], [50, 32, 22, 44, 66, 43, 14, 7, 25]]"
317,5216,"[[21], [21, 11, 15, 55, 42, 17, 40, 26, 12, 41]]"
318,961,"[[36], [36, 53, 68, 70, 28, 5, 96, 19]]"
319,4258,"[[8], [8, 86, 3, 19, 41, 97, 99, 27, 100, 48]]"
320,8811,"[[40], [40, 32, 62, 93, 35, 96, 69, 95, 87, 64]]"
321,21128,"[[50], [50, 53, 61, 35, 48, 40, 46, 28, 70, 43]]"
322,195,"[[97], [97, 19, 62, 13, 50, 3, 1, 61, 40, 33]]"
323,7952,"[[88], [88, 89, 38, 87, 93, 36, 27, 11, 63, 24]]"
324,8346,"[[36], [36, 88, 81, 76, 47, 94, 10, 22, 26, 77]]"
325,6169,"[[22], [22, 27, 54, 56, 62, 39, 68, 51, 40, 28]]"
326,21868,"[[27], [27, 54, 61, 62, 68, 21, 1, 8, 16, 23]]"
327,6596,"[[36], [36, 56, 31, 7, 54, 21, 48, 46, 26, 25]]"
328,2083,"[[93], [93, 97, 47, 94, 83, 85, 59, 14, 86, 32]]"
